,id,item_name,quantity,rare,buy_price,selling_price
537,021A,Sickle crab leg,99,4,No Sale,750z
538,021B,Sickle crab chela,99,4,No Sale,1800z
539,021C,Sickle crab claw,99,4,No Sale,1200z
540,021D,Sickle crab claw,99,5,No Sale,3500z
541,021E,(dummy),99,5,No Sale,0z
542,021F,Fort crab shell,99,5,No Sale,1400z
543,0220,Fort crab back,99,5,No Sale,3000z
544,0221,Fort crab scissors,99,5,No Sale,2150z
545,0222,Fort crab claws,99,5,No Sale,3200z
546,0223,(dummy),99,5,No Sale,0z
547,0224,Steel Dragon Shell,99,5,No Sale,1300z
548,0225,Steel dragon's hard shell,99,5,No Sale,3200z
549,0226,Steel dragon scales,99,5,No Sale,800z
550,0227,Steel Dragon Patagium,99,5,No Sale,1800z
551,0228,Steel Dragon Weapon,99,5,No Sale,2450z
552,0229,Steel dragon tail,99,5,No Sale,2250z
553,022A,Steel Dragon Claw,99,5,No Sale,2100z
554,022B,Steel Dragon's Claw,99,5,No Sale,3600z
555,022C,Steel Dragon Jewel,99,5,No Sale,4000z
556,022D,Rusted shell,99,5,No Sale,1000z
557,022E,Decayed dragon wings,99,5,No Sale,1500z
558,022F,Rusted dragon wings,99,5,No Sale,2800z
559,0230,Kasumi Dragon Skin,99,5,No Sale,1250z
560,0231,Kasumi Dragon Epithelium,99,5,No Sale,1840z
561,0232,Kasumi Dragon Weapon,99,5,No Sale,2680z
562,0233,Kasumi Dragon's Weapon,99,5,No Sale,3220z
563,0234,Kasumi Dragon's Claw,99,5,No Sale,2800z
564,0235,Kasumi Dragon's wing membrane,99,5,No Sale,1760z
565,0236,Kasumi Dragon's Tail,99,5,No Sale,3800z
566,0237,Kasumi Dragon's Jewel,99,5,No Sale,4000z
567,0238,(dummy),99,5,No Sale,0z
568,0239,Dragon scales of flame,99,5,No Sale,1050z
569,023A,Flame Dragon Claw,99,5,No Sale,1200z
570,023B,Flame Dragon Dust,99,5,No Sale,3250z
571,023C,Flame Dragon Jewel,99,5,No Sale,4000z
572,023D,Gu Long Blood,99,5,No Sale,1500z
573,023E,Dragon scales of prison flame,99,5,No Sale,1800z
574,023F,Flame Princess Dragon Shell,99,5,No Sale,1800z
575,0240,Mane of the Flame Princess Dragon,99,5,No Sale,1900z
576,0241,The wing membrane of the Flame Princess Dragon,99,5,No Sale,1600z
577,0242,Flame Princess Dragon's Tail,99,5,No Sale,2500z
578,0243,Flame Princess Dragon Weapon,99,5,No Sale,2000z
579,0244,(dummy),99,5,No Sale,0z
580,0245,Flame King Dragon Shell,99,5,No Sale,1800z
581,0246,Flame King Dragon's Hard Shell,99,5,No Sale,3200z
582,0247,Mane of the Flame King Dragon,99,5,No Sale,1900z
583,0248,Flame King Dragon's wing membrane,99,5,No Sale,1600z
584,0249,Flame King Dragon's Tail,99,5,No Sale,2500z
585,024A,Flame King Dragon Weapon,99,5,No Sale,2000z
586,024B,Flame King Dragon's Weapon,99,5,No Sale,2800z
587,024C,Ukidake Dragon's fin,99,5,No Sale,2500z
588,024D,Ukidake dragon skin,99,5,No Sale,1580z
589,024E,Ukidake dragon's body fluid,99,5,No Sale,2500z
590,024F,Dragon moss,99,5,No Sale,3050z
591,0250,Dragon Wood,99,5,No Sale,2135z
592,0251,(dummy),99,5,No Sale,0z
593,0252,Snake dragon skin,99,4,No Sale,180z
594,0253,Snake dragon epithelium,99,4,No Sale,450z
595,0254,Striped skin,99,4,No Sale,290z
596,0255,Snake dragon head,99,4,No Sale,750z
597,0256,Black wolf bird scales,99,4,No Sale,400z
598,0257,Black wolf bird shell,99,4,No Sale,650z
599,0258,Black wolf bird ears,99,4,No Sale,1500z
600,0259,Pointed beak,99,4,No Sale,1800z
601,025A,Black wolf bird wings,99,4,No Sale,1950z
602,025B,Black wolf bird tail,99,4,No Sale,1500z
603,025C,Black wolf bird mane,99,4,No Sale,1800z
604,025D,Lost and found umbrella,99,5,No Sale,1240z
605,025E,Village head's old sword,1,5,No Sale,1000z
606,025F,Stone statue fist,99,4,No Sale,1880z
607,0260,Broken dragon spear,99,4,No Sale,1530z
608,0261,Chain of strong arms,1,5,No Sale,120z
609,0262,Bonus reward,1,5,No Sale,0z
610,0263,Rusty mass,1,5,No Sale,180z
611,0264,Rust plate-shaped mass,1,5,No Sale,180z
612,0265,Large rusty mass,1,5,No Sale,180z
613,0266,Rusty little lump,1,5,No Sale,180z
614,0267,Rusty rod-shaped mass,1,5,No Sale,180z
615,0268,Ancient mass,1,5,No Sale,360z
616,0269,Ancient plate-shaped mass,1,5,No Sale,360z
617,026A,A large ancient mass,1,5,No Sale,360z
618,026B,Ancient small chunks,1,5,No Sale,360z
619,026C,Ancient rod-shaped mass,1,5,No Sale,360z
620,026D,Book of good storage and skill,1,4,3000z,0z
621,026E,Book of good storage and power,1,5,10000z,0z
622,026F,Good remodeling and craftsmanship,1,4,20000z,0z
623,0270,Good at remodeling and skill of money,1,5,30000z,0z
624,0271,Book of therianthropy,1,1,100z,0z
625,0272,Book of Chachabu,1,1,100z,0z
626,0273,Book of beetle species,1,1,100z,0z
627,0274,Book of Great Thunder Insects,1,1,100z,0z
628,0275,Book of herbivorous species,1,1,100z,0z
629,0276,Book of bird dragon species,1,1,200z,0z
630,0277,Book of Yangar Luga,1,1,No Sale,0z
631,0278,Book of Flying Dragon [Volume 1],1,1,200z,0z
632,0279,Book of Flying Dragon [Volume 2],1,2,200z,0z
633,027A,Book of Rio Leus,1,2,200z,0z
634,027B,Book of Monobros,1,2,200z,0z
635,027C,Book of ichthyosaur species,1,2,200z,0z
636,027D,Book of Crustacean [Volume 1],1,2,200z,0z
637,027E,Book of Crustacean [Volume 2],1,2,200z,0z
638,027F,Book of Shenga Oren,1,3,No Sale,0z
639,0280,Book of Fang Beast Species,1,3,200z,0z
640,0281,Book of Dodo Blanco,1,3,200z,0z
641,0282,Rajan's Book,1,3,500z,0z
642,0283,Giraffe's book,1,3,500z,0z
643,0284,Book of Kushaldaora,1,3,500z,0z
644,0285,Book of Onazuchi,1,3,500z,0z
645,0286,Book of Nana Tescatri,1,3,500z,0z
646,0287,Book of Theo Tescatl,1,3,500z,0z
647,0288,Book of Lao Shanlong,1,3,500z,0z
648,0289,Book of Yamatsukami,1,3,No Sale,0z
649,028A,Book of Miraboreas,1,3,No Sale,0z
650,028B,(dummy),1,5,No Sale,0z
651,028C,(dummy),1,5,No Sale,0z
652,028D,(dummy),1,5,No Sale,0z
653,028E,(dummy),1,5,No Sale,0z
654,028F,Silver egg,10,5,No Sale,5000z
655,0290,Gold egg,5,5,No Sale,10000z
656,0291,map,1,1,No Sale,0z
657,0292,First aid,10,1,No Sale,0z
658,0293,Mobile food,10,1,No Sale,0z
659,0294,Mobile meat grilled set,1,1,No Sale,0z
660,0295,Portable whetstone,10,1,No Sale,0z
661,0296,Mobile phone trap,1,3,No Sale,0z
662,0297,Flash ball for exclusive use of supply,5,2,No Sale,0z
663,0298,Elixir for exclusive use,3,2,No Sale,0z
664,0299,Pit for supply only,1,3,No Sale,0z
665,029A,Large Tal bomb for supply,2,3,No Sale,0z
666,029B,Ballista bullets,10,5,No Sale,0z
667,029C,Cannon bullet,1,5,No Sale,0z
668,029D,Wyvern,10,1,No Sale,0z
669,029E,Flying dragon egg,1,5,No Sale,0z
670,029F,Herbivorous dragon egg,1,5,No Sale,0z
671,02A0,Carnivorous dragon egg,1,5,No Sale,0z
672,02A1,Rough ash crystal,1,5,No Sale,0z
673,02A2,Rough white crystal,1,5,No Sale,0z
674,02A3,Gunpowder rock,1,5,No Sale,0z
675,02A4,Full full baby,1,5,No Sale,156z
676,02A5,Full baby ice cream,10,5,No Sale,500z
677,02A6,Guild flag,1,3,No Sale,0z
678,02A7,Leftover food in the city,10,2,No Sale,0z
679,02A8,Strange hood,10,4,No Sale,100z
680,02A9,Giant dragon hood,10,5,No Sale,100z
681,02AA,Strong dragon hood,10,5,No Sale,100z
682,02AB,Dragon hood,10,4,No Sale,5z
683,02AC,"Dragon hood, extreme",10,5,No Sale,100z
684,02AD,Red dragon food,10,4,No Sale,50z
685,02AE,Midori no Ryu Food,10,4,No Sale,50z
686,02AF,Blue dragon hood,10,4,No Sale,50z
687,02B0,Bullet whistle,1,4,No Sale,10z
688,02B1,Assault whistle,1,4,No Sale,10z
689,02B2,Tail whistle,1,4,No Sale,10z
690,02B3,Bite Flute,1,4,No Sale,10z
691,02B4,Special flute,1,4,No Sale,10z
692,02B5,Anger whistle,1,4,No Sale,0z
693,02B6,Inverse scale flute,1,4,No Sale,10z
694,02B7,Key of the dragon spear,10,2,No Sale,0z
695,02B8,Fighting party ticket,5,5,No Sale,0z
696,02B9,(dummy),3,5,No Sale,0z
697,02BA,Sleeping ball,10,2,No Sale,0z
698,02BB,Sedative ball,10,2,No Sale,0z
699,02BC,Recovery ball,10,2,No Sale,0z
700,02BD,A song that harbors the soul,99,4,No Sale,500z
701,02BE,Song to the spirits,99,4,No Sale,500z
702,02BF,A song dedicated to life,99,4,No Sale,500z
703,02C0,The beginning song,99,5,No Sale,1000z
704,02C1,Hunting whistle sheet music,1,4,300z,30z
705,02C2,Sheet music of old hunting whistle,1,4,800z,80z
706,02C3,White obi coin,99,4,No Sale,50z
707,02C4,Black obi coin,99,4,No Sale,100z
708,02C5,Tatsujin coin,99,4,No Sale,500z
709,02C6,Bird dragon coin,99,4,No Sale,550z
710,02C7,Flying dragon coin,99,4,No Sale,1000z
711,02C8,Ichthyosaur coin,99,4,No Sale,750z
712,02C9,Fang beast coin,99,4,No Sale,1250z
713,02CA,Crustacean coin,99,4,No Sale,1500z
714,02CB,Gu Long coin,99,4,No Sale,5000z
715,02CC,Eternal coin,99,4,No Sale,1000z
716,02CD,Gorgeous coins,99,4,No Sale,1250z
717,02CE,Solid coin,99,4,No Sale,500z
718,02CF,Guild coin,99,5,No Sale,5000z
719,02D0,Compass to the unexplored region,1,5,No Sale,300z
720,02D1,Map to the unexplored region,1,5,No Sale,100z
721,02D2,Five tools for unexplored regions,1,5,No Sale,500z
722,02D3,Unexplored set,1,5,No Sale,3000z
723,02D4,Book of the end,1,5,No Sale,200z
724,02D5,Legendary book,1,5,No Sale,150z
725,02D6,Book of Gu Long,1,5,No Sale,500z
726,02D7,Book of the Soryu,1,5,No Sale,2500z
727,02D8,"The chapter of the old tower, the first part",1,5,No Sale,50z
728,02D9,The second part of the old tower,1,5,20000z,2000z
729,02DA,The second part of the old tower,1,5,No Sale,50z
730,02DB,Book of the old tower,1,5,No Sale,1000z
731,02DC,Mouth of old acupoints,1,5,No Sale,10000z
732,02DD,Old acupoint torso,1,5,No Sale,5000z
733,02DE,The bottom of an old acupoint,1,5,No Sale,5000z
734,02DF,Ancient acupoints,1,5,No Sale,0z
735,02E0,Star iron,99,5,No Sale,15z
736,02E1,Main sail,10,5,No Sale,1000z
737,02E2,Main mast,10,5,No Sale,300z
738,02E3,Proof of comrades,99,4,No Sale,5000z
739,02E4,An Khe,99,5,No Sale,500z
740,02E5,Instructor's order form,99,5,No Sale,0z
741,02E6,Egg ticket,99,5,No Sale,0z
742,02E7,Jewel certificate,99,5,No Sale,0z
743,02E8,Proof of courage,99,5,No Sale,0z
744,02E9,Paw stamp,99,5,No Sale,0z
745,02EA,Guild ticket,99,5,No Sale,0z
746,02EB,Yakiniku ticket,99,5,No Sale,0z
747,02EC,Proof of a first-class hunter,99,5,No Sale,0z
748,02ED,Big sword ticket,99,5,No Sale,0z
749,02EE,Hammer ticket,99,5,No Sale,0z
750,02EF,Lance ticket,99,5,No Sale,0z
751,02F0,One-handed sword ticket,99,5,No Sale,0z
752,02F1,Gunner ticket,99,5,No Sale,0z
753,02F2,Paw stamp,99,5,No Sale,0z
754,02F3,Famitsu ticket,99,5,No Sale,0z
755,02F4,Famitsu's order form,99,5,No Sale,0z
756,02F5,Dengeki Ticket,99,5,No Sale,0z
757,02F6,Dengeki G Ticket,99,5,No Sale,0z
758,02F7,Maca pickled jar,3,3,300z,30z
759,02F8,"Maca pickled jar, green",1,3,No Sale,31z
760,02F9,"Maca pickled jar, green",1,3,No Sale,31z
761,02FA,"Maca pickled jar, green",1,3,No Sale,35z
762,02FB,"Maca pickled jar, green",1,3,No Sale,40z
763,02FC,"Maca pickled jar, green",1,3,No Sale,80z
764,02FD,"Maca pickled jar, green",1,5,No Sale,0z
765,02FE,"Maca pickled jar, green",1,5,No Sale,0z
766,02FF,"Maca pickled jar, green",1,3,No Sale,35z
767,0300,"Maca pickled jar, green",1,3,No Sale,31z
768,0301,"Maca pickled jar, green",1,3,No Sale,55z
769,0302,"Maca pickled jar, green",1,5,No Sale,0z
770,0303,"Maca pickled jar, green",1,5,No Sale,0z
771,0304,"Maca pickled jar, green",1,5,No Sale,0z
772,0305,"Maca pickled jar, green",1,5,No Sale,0z
773,0306,"Maca pickled jar, red",1,3,No Sale,30z
774,0307,"Maca pickled jar, red",1,3,No Sale,30z
775,0308,"Maca pickled jar, red",1,3,No Sale,30z
776,0309,"Maca pickled jar, red",1,3,No Sale,30z
777,030A,"Maca pickled jar, yellow",1,3,No Sale,30z
778,030B,"Maca pickled jar, yellow",1,3,No Sale,30z
779,030C,"Maca pickled jar, yellow",1,3,No Sale,32z
780,030D,"Maca pickled jar, yellow",1,3,No Sale,31z
781,030E,"Maca pickled jar, blue",1,5,No Sale,0z
782,030F,"Maca pickled jar, yellow",1,3,No Sale,77z
783,0310,"Maca pickled jar, yellow",1,3,No Sale,77z
784,0311,"Maca pickled jar, yellow",1,3,No Sale,35z
785,0312,"Maca pickled jar, yellow",1,3,No Sale,50z
786,0313,"Maca pickled jar, yellow",1,3,No Sale,40z
787,0314,"Maca pickled jar, yellow",1,3,No Sale,30z
788,0315,"Maca pickled jar, yellow",1,3,No Sale,50z
789,0316,"Maca pickled jar, yellow",1,3,No Sale,70z
790,0317,"Maca pickled jar, yellow",1,3,No Sale,90z
791,0318,"Maca pickled jar, yellow",1,3,No Sale,35z
792,0319,"Maca pickled jar, yellow",1,3,No Sale,30z
793,031A,Water light original beads,99,4,No Sale,200z
794,031B,Yangxiang original pearl,99,4,No Sale,350z
795,031C,Asura original beads,99,5,No Sale,530z
796,031D,Rurihara pearl,99,5,No Sale,880z
