,first_food,second_food,recipe,health,stamina,attack,defense
372,Powerlad,Buffalo Butter,Shaky Tongue,-10,-25,+0,+10
373,Powerlad,Royale Cheese,Overjoyed Pan,-10,-25,+0,+10
374,Powerlad,Sake,Dokkan Soup,+10,+25,-3,+0
375,Powerlad,Monster Egg,Smaley Curry,-10,-25,+3,+10
376,Lifejam,Dry Margarine,Shaky Tongue,+0,+25,+0,-10
377,Lifejam,Buffalo Butter,Overjoyed Pan,+0,+25,+0,+10
378,Lifejam,Sake,Jumbo Pizza,+0,+25,+3,+0
379,Lifejam,Blessed Wine,Gingi Ramen,+0,+25,+0,+0
380,Lifejam,Gold Sake,Smaley Curry,+0,+25,+0,+0
381,Lifejam,Monster Egg,An An Zosui,+0,+25,+0,+0
382,Dry Margarine,Royale Cheese,Jumbo Pizza,+0,+0,+0,+10
383,Buffalo Butter,Royale Cheese,Gingi Ramen,+0,+0,+0,+10
384,Buffalo Butter,Sake,Smaley Curry,+0,+0,+3,+10
385,Buffalo Butter,Monster Egg,Dozuki Risotto,+0,+0,+0,+10
386,Buffalo Butter,Pig Cracker,Otsu Cake Balls,+0,-25,-3,+10
387,Royale Cheese,Sake,An An Zosui,+0,+0,+0,+10
388,Royale Cheese,Blessed Wine,Surprise Stew,+0,+0,+0,+10
389,Royale Cheese,Gold Sake,Dozuki Risotto,+0,+0,+0,+10
390,Royale Cheese,Monster Egg,Otsu Cake Balls,+0,+0,+3,+20
391,Royale Cheese,Pig Cracker,Guts’n’Chaofan,+0,-25,-3,+10
392,Sake,Gold Sake,Otsu Cake Balls,+0,+0,+3,+0
393,Sake,Monster Egg,Guts’n’Chaofan,+0,+0,+3,+10
394,Blessed Wine,Pig Cracker,Doku Doku Doria,+0,+25,+3,+0
